SKU ID,Color Code,Size Code,Size,Stock
03798507,526,02,S,5
03798516,505,02,S,6
03798516,505,03,M,6
03798516,505,04,L,4
03798516,505,05,XL,3
00506304,500,03,M,4
00506304,500,05,XL,3
04938330,717,03,M,3
01384303,052,03,M,5
05755301,800,03,M,4
06674323,712,03,M,3
03798518,407,02,S,4
03798518,407,03,M,6
03798518,407,04,L,5
03798518,407,05,XL,3
03798520,401,04,L,3
03798522,505,02,S,5
03798522,505,03,M,4
03798522,505,04,L,5
05575304,800,40,EU 40 (UK 31),3
01922117,400,42,EU 42 (UK 32),3
04840342,401,05,XL,3
07545374,800,05,XL,3
05575304,800,40,EU 40 (UK 31),3
00840312,400,36,EU 36 (UK 29),3
00840312,400,38,EU 38 (UK 30),5
00840312,400,42,EU 42 (UK 32),3
06224363,403,03,M,3
00962815,600,02,S,4
00962815,600,03,M,3
00962815,600,04,L,3
04087336,712,03,M,4
00881339,712,03,M,3
06224338,500,02,S,3
06224338,500,03,M,4
00679317,251,03,M,3
00962322,251,05,XL,3
06224334,620,02,S,3
03992376,803,03,M,3
01165313,825,02,S,6
00962351,800,03,M,3
06224341,403,03,M,4
03665330,671,02,S,3
00679330,803,02,S,3
04087341,803,02,S,4
04087341,803,03,M,3
06224342,251,02,S,3
06224342,251,03,M,4
06224349,707,02,S,3
06224349,707,03,M,3
01195302,701,02,S,3
01195302,701,03,M,3
01195302,701,05,XL,3
07545471,712,02,S,3
07545471,712,03,M,7
07200103,506,03,M,3
07200103,506,04,L,3
05588271,250,03,M,3
03090420,250,02,S,1
03090420,250,03,M,2
03090420,250,04,L,2
03090420,250,05,XL,1
03090420,250,02,S,1
03090420,250,03,M,2
03090420,250,04,L,2
03090420,250,05,XL,1
05679186,500,02,S,5
05679186,500,03,M,3
05679186,500,04,L,4
05679186,500,05,XL,3
05575134,250,02,S,4
05575134,250,03,M,4
05575134,250,04,L,3
07200103,506,03,M,3
07200103,506,04,L,3
07446320,707,05,XL,5
03798114,510,02,S,10
03798114,510,03,M,7
03798114,510,04,L,10
03798114,510,05,XL,3
06864186,700,03,M,4
07545312,406,04,L,6
07545312,406,05,XL,3
05679354,086,05,XL,4
02688360,512,03,M,4
04090320,500,02,S,3
07545335,526,03,M,6
07545104,250,02,S,3
07545444,514,02,S,7
07545444,514,03,M,9
07545444,514,04,L,7
07545444,514,05,XL,3
06656010,250,02,S,3
06656010,250,03,M,5
01195302,701,02,S,3
01195302,701,03,M,3
01195302,701,05,XL,3
03798114,510,02,S,10
03798114,510,03,M,7
03798114,510,04,L,10
03798114,510,05,XL,3
01195302,701,02,S,3
01195302,701,03,M,3
01195302,701,05,XL,3
07545471,712,02,S,3
07545471,712,03,M,7
01193337,251,02,S,3
01193337,251,03,M,3
03798114,510,02,S,10
03798114,510,03,M,7
03798114,510,04,L,10
03798114,510,05,XL,3
06864186,700,03,M,4
07545312,406,04,L,6
07545312,406,05,XL,3
05679354,086,05,XL,4
04090320,500,02,S,3
07545335,526,03,M,6
07545104,250,02,S,3
05638410,075,03,M,4
05679186,500,02,S,5
05679186,500,03,M,3
05679186,500,04,L,4
05679186,500,05,XL,3
07545100,800,02,S,4
07545100,800,04,L,3
07545100,800,05,XL,3
07545444,514,02,S,7
07545444,514,03,M,9
07545444,514,04,L,7
07545444,514,05,XL,3
07545329,711,02,S,5
07545329,711,03,M,6
07545329,711,04,L,3
05679329,712,03,M,3
06656010,250,02,S,3
06656010,250,03,M,5
07446320,707,05,XL,5
02688360,512,03,M,4
01384303,052,03,M,5
05755301,800,03,M,4
09240311,428,03,M,3
